FID,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,GeoLocation
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b8e,211010,Campi Flegrei,10018,Confirmed Eruption,4,,,Agnano Pomici Principali tephra,Radiocarbon (corrected),,-8480,100,,0,0,,,,,,,,,POINT (40.827 14.139)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b8f,211010,Campi Flegrei,10021,Confirmed Eruption,4,,"Fondi di Baia, Sartania",,Radiocarbon (uncorrected),,-6650,100,,0,0,,,,,,,,,POINT (40.827 14.139)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b90,211010,Campi Flegrei,10026,Confirmed Eruption,4,,Cigliano,,Tephrochronology,?,-2500,,,0,0,,,,,,,,,POINT (40.827 14.139)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b91,211010,Campi Flegrei,10033,Confirmed Eruption,5,,Agnano Monte Spina,,Radiocarbon (uncorrected),,-2150,500,,0,0,,,,,,,,,POINT (40.827 14.139)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b92,211010,Campi Flegrei,10036,Confirmed Eruption,4,,Averno,,Tephrochronology,,-2000,150,,0,0,,,,,,,,,POINT (40.827 14.139)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b93,211010,Campi Flegrei,10037,Confirmed Eruption,4,,Astroni,,Radiocarbon (uncorrected),,-1870,50,,0,0,,,,,,,,,POINT (40.827 14.139)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b94,211010,Campi Flegrei,10038,Confirmed Eruption,4,,Fossa Lupara (Monte Senga),,Tephrochronology,?,-1650,,,0,0,,,,,,,,,POINT (40.827 14.139)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b95,211020,Vesuvius,10042,Confirmed Eruption,5,,,Mercato Pumice,Radiocarbon (corrected),,-6940,100,,0,0,,,,,,,,,POINT (40.821 14.426)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b96,211020,Vesuvius,10043,Confirmed Eruption,5,,,,Radiocarbon (corrected),,-2420,40,,0,0,,,,,,,,,POINT (40.821 14.426)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b97,211020,Vesuvius,10045,Confirmed Eruption,4,,,AP1 tephra,Radiocarbon (corrected),,-1550,75,,0,0,,,,,,,,,POINT (40.821 14.426)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b98,211020,Vesuvius,10046,Confirmed Eruption,4,,,AP2 tephra,Radiocarbon (corrected),,-1430,300,,0,0,,,,,,,,,POINT (40.821 14.426)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b99,211020,Vesuvius,10047,Confirmed Eruption,4,,,AP3 tephra,Radiocarbon (corrected),,-880,50,,0,0,,,,,,,,,POINT (40.821 14.426)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b9a,211020,Vesuvius,10050,Confirmed Eruption,5,?,,,Historical Observations,,79,,?,10,24,,,79,,,10,28,1,POINT (40.821 14.426)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b9b,211020,Vesuvius,13310,Confirmed Eruption,4,?,,,Historical Observations,,512,,,7,8,,,,,,,,,POINT (40.821 14.426)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b9c,211020,Vesuvius,13314,Confirmed Eruption,4,,,,Historical Observations,,685,,,2,0,,,685,,,3,0,,POINT (40.821 14.426)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b9d,211020,Vesuvius,13318,Confirmed Eruption,4,,,,Historical Observations,,968,,,12,1,30,,,,,,,,POINT (40.821 14.426)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b9e,211020,Vesuvius,13332,Confirmed Eruption,5,?,"Summit, SW and S flanks",,Historical Observations,,1631,,,12,16,,,1632,,?,1,31,,POINT (40.821 14.426)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1b9f,211020,Vesuvius,13360,Confirmed Eruption,4,?,Summit and upper flanks,,Historical Observations,,1875,,,12,18,,,1906,,,4,22,,POINT (40.821 14.426)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1ba0,211020,Vesuvius,10052,Confirmed Eruption,4,P,,,Historical Observations,,203,,,0,0,,,,,,,,,POINT (40.821 14.426)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1ba1,211020,Vesuvius,13308,Confirmed Eruption,5,,,,Historical Observations,,472,,,11,5,,,472,,?,11,6,,POINT (40.821 14.426)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1ba2,211050,Vulcano,13446,Confirmed Eruption,4,,Vulcanello,,Historical Observations,,-183,,,0,0,,,,,,,,,POINT (38.404 14.962)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1ba3,211060,Etna,13492,Confirmed Eruption,5,?,,,Historical Observations,,-1500,50,,0,0,,,,,,,,,POINT (37.748 14.999)
