FID,Volcano_Number,Volcano_Name,Primary_Volcano_Type,Last_Eruption_Year,Country,Geological_Summary,Region,Subregion,Latitude,Longitude,Elevation,Tectonic_Setting,Geologic_Epoch,Evidence_Category,Primary_Photo_Link,Primary_Photo_Caption,Primary_Photo_Credit,Major_Rock_Type,GeoLocation
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_15ca,210010,West Eifel Volcanic Field,Maar(s),-8300,Germany,"The West Eifel volcanic field in the Rhineland district of western Germany SW of the city of Bonn is a dominantly Pleistocene group of 240 scoria cones, maars, and small stratovolcanoes covering an area of about 600 km2. It lies about 40 km SW of the smaller, but better known, East Eifel volcanic field. Individual vents, most of which cover a broad NW-SE-trending area extending about 50 km from the towns of Ormont on the NW to Bad Bertrich on the SE, were erupted above a mantle plume through Devonian sedimentary and metamorphic rocks. Scoria cones, about half of which have produced lava flows, form two-thirds of the volcanic centers, and about 30% are maars or tuff rings, many of which are occupied by lakes. About 230 eruptions have occurred during the past 730,000 years. The latest eruptions formed the Ulmener, Pulvermaar, and Strohn maars around the end of the Pleistocene and the beginning of the Holocene.",Mediterranean and Western Asia,Western Europe,50.17,6.85,600,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,http://volcano.si.edu/photos/full/015001.jpg,"The lake-filled Weinfelder maar is one of about 80 maars of the West Eifel volcanic field in Germany, west of the Rhine River.  The roughly 500-m-wide crater was formed during the late Pleistocene by explosions through nonvolcanic bedrock.  About 230 eruptions during the past 730,000 years formed a 600 sq km area of maars, scoria cones, and small stratovolcanoes.","Photo by Richard Waitt, 1990 (U.S. Geological Survey).",Foidite,POINT (50.17 6.85)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_15cb,210020,Chaine des Puys,Lava dome(s),-4040,France,"The Chaîne des Puys, prominent in the history of volcanology, form a N-S-trending chain of basaltic and trachytic cinder cones, basaltic maars, and trachytic lava domes in France's Massif Central that has been active into the Holocene. Construction of the present-day Chaîne des Puys began about 70,000 years before present (BP), and was largely completed by the beginning of the Holocene. Holocene eruptions constructed lava domes such as the Puy de Dôme, whose growth was accompanied by pyroclastic flows, cinder cones that fed lengthy lava flows, and maars. The latest well-documented activity took place about 6000 BP near Besse-en-Chandesse and included the powerful explosions that formed the Lac Pavin maar. The dating of younger tephras has not yet been confirmed, and reports of historical eruptions as late as 1000 BP have been discredited.",Mediterranean and Western Asia,Western Europe,45.775,2.97,1464,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,http://volcano.si.edu/photos/full/088002.jpg,"The central part of the Chaîne des Puys volcanic chain in the Auvergne region of France is seen from the SW.  Puy de Dôme is the rounded peak in the center, Puy de Côme is at the left, and Puy de Laschamp is the scoria cone at the right.  The N-S-trending chain of basaltic and trachytic cinder cones, basaltic maars, and trachytic lava domes in France's Massif Central has been active into the Holocene.  The latest well-documented activity took place about 6000 years ago. ",Photo by Ichio Moriya (Kanazawa University).,Basalt / Picro-Basalt,POINT (45.775 2.97)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_15cc,210030,Olot Volcanic Field,Pyroclastic cone(s),,Spain,"The Olot volcanic field (also known as the Garrotxa volcanic field) occupies the NE corner of Spain south of the Pyrenees Mountains about 90 km NNE of Barcelona.  The field consists of a large number of Strombolian pyroclastic cones and associated alkali basaltic lava flows, and is part of the NE Volcanic Province, which includes the Ampurdán and Selva areas to the SE.  The pyroclastic cones are preferentially located at the intersection of E-W and NW-SE faults that cut sedimentary and metamorphic basement rocks.  The latest dated eruption occurred during the early Holocene, and stratigraphic evidence suggests that more recent eruptions have occurred.",Mediterranean and Western Asia,Western Europe,42.17,2.53,893,Intraplate / Continental crust (> 25 km),Holocene,Evidence Credible,http://volcano.si.edu/photos/full/119091.jpg,"The forested Volcà Montolivet cinder cone rises above the orange-roofed buildings of the city of Olot, as seen from the Volcà Montsacopa cinder cone to the NE.  The cone is part of a large volcanic field named after the city and occupies the NE corner of Spain south of the Pyrenees Mountains about 90 km NNE of Barcelona.  The latest dated eruption at Olot (also known as the Garrotxa volcanic field) occurred during the early Holocene, and stratigraphic evidence suggests that more recent eruptions have occurred. ",Photo by Puigalder (Wikimedia Commons).,Trachybasalt / Tephrite Basanite,POINT (42.17 2.53)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_15cd,210040,Calatrava Volcanic Field,Pyroclastic cone(s),-3600,Spain,"The Calatrava volcanic field lies in central Spain near Ciudad Real. The more than 300 basaltic-to-foiditic pyroclastic cones, maars, and lava domes cover an area of more than 5000 km2. The field is mostly of Pliocene or late-Pleistocene age, although late-stage phreatomagmatic activity at Columba volcano was dated at the mid-Holocene. It lies in a continental rift setting and contains several lake-filled maars. Fumarolic activity was recorded in the Sierra de Valenzuela area during the 16th-18th centuries.",Mediterranean and Western Asia,Western Europe,38.87,-4.02,1117,Intraplate / Continental crust (> 25 km),Holocene,Eruption Dated,http://volcano.si.edu/photos/full/118054.jpg,"Columba volcano, the youngest dated vent of the dominantly Pliocene Calatrava volcanic field, rises above the Jabalón reservoir.  The massive volcanic field covers an area of more than 5000 sq km and contains more than 300 pyroclastic cones, maars, and lava domes.  The Calatrava volcanic field is mostly of Pliocene or late-Pleistocene age, although late-stage phreatomagmatic activity at Columba volcano was dated at the mid-Holocene.  Fumarolic activity was recorded in the Sierra de Valenzuela area during the 16th-18th centuries.","Photo by Rafael Becerra Ramírez, 2006 (Universidad de Castilla-La Mancha).",Basalt / Picro-Basalt,POINT (38.87 -4.02)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_15ce,211001,Larderello,Explosion crater(s),1282,Italy,"Larderello, one of the world's most productive geothermal areas, is located in the southern part of the Tuscany region of Italy. This extensive solfatara field lies in an area underlain by sediments of Eocene-to-Pliocene age. The geothermal activity is considered to be related to a cooling granitic pluton of Pliocene age beneath sedimentary and metamorphic rocks ranging from Paleozoic to Tertiary age, although the area is cut by faults with hydrothermal mineralization related to Pliocene-to-Quaternary Tuscan magmatism. The only surficial morphological manifestation of volcanism is a series of about a dozen explosion craters 30-250 m in diameter. The Lago Vecchienna crater, now filled by a 250-m-wide lake, ejected blocks and ash during a phreatic eruption in about 1282 CE (Marinelli, 1969).",Mediterranean and Western Asia,Italy,43.25,10.87,500,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,http://volcano.si.edu/photos/full/094048.jpg,"Steam pours from cooling towers at Larderello, one of the world's most productive geothermal areas.  Larderello is located in the Tuscany region of Italy, at a solfatara field in an area underlain by sediments of Eocene-to-Pliocene age.  The only surficial morphological manifestation of volcanism is a series of about a dozen explosion craters 30-250 m in diameter.  The youngest of these, the Lago Vecchienna crater, ejected blocks and ash during a phreatic eruption in about 1282 CE and is now filled by a 250-m-wide lake.   ","Photo by Giuseppina Kysar, 1985 (Smithsonian Institution).",No Data (checked),POINT (43.25 10.87)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_15cf,211003,Vulsini,Caldera,-104,Italy,"The Vulsini volcanic complex in central Italy covers about 2200 km2 at the northern end of the Roman magmatic province. Following lava extrusion and explosive eruptions that constructed the main Vulsini complex, the 16-km-wide, lake-filled Bolsena caldera on the east and the 8 x 11 km Latera caldera on the west were formed during major Pleistocene explosive eruptions at about 0.3 and 0.16 million years ago, respectively. Five major Plinian fall deposits were erupted from vents at or near Latera caldera during the late Pleistocene. The latest major eruption formed unwelded pumice flows and welded airfall tuffs of the Pitigliano Formation, associated with collapse of the Vepe caldera about 166,000 years ago at the NW end of Latera caldera. Post-caldera volcanism produced scoria cones and lava flows from vents within and to the west of Latera caldera and lasted until subrecent times. Youthful-looking remnants of ash cones in Lake Bolsena may have given rise to a legend of a pre-historical fire-god, Volta. An historical report noted that ""a flame shot up near Volsini"" in 104 BCE.",Mediterranean and Western Asia,Italy,42.6,11.93,800,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,http://volcano.si.edu/photos/full/015006.jpg,"The 16-km-wide Bolsena caldera, filled by the waters of Lago di Bolsena, is the most prominent feature of the Vulsini volcanic complex NW of Rome.  The 2000 sq km volcanic complex also includes the Latera caldera to the west.  Both calderas were formed during the Pleistocene.  Post-caldera eruptions produced scoria cones, lava flows, and youthful-looking, ash-cone islands in Lago di Bolsena that may have given origin to legends of a fire god. ","Photo by Richard Waitt, 1985 (U.S. Geological Survey).",Trachyte / Trachydacite,POINT (42.6 11.93)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_15d0,211004,Colli Albani,Caldera,,Italy,"The Colli Albani (Alban Hills) complex immediately SE of Rome contains a large Pleistocene stratovolcano with a 10 x 12-km-wide caldera formed during an eruptive period with six major explosive eruptions that produced at least 280 km3 of ejecta between about 560,000 and 350,000 years ago.  Subsequent eruptions occurred from a new 5-km-wide central cone and from many phreatomagmatic craters and cones within the Artemisio-Tuscolana caldera and on its outer flanks.  The post-caldera eruptions have buried the western side of the caldera rim.  The largest of the post-caldera craters is Lake Albano, a 4 x 2.5-km-wide compound maar constructed at the WSW margin of the caldera in multiple stages dating back to about 69,000 years ago.  The age of the most recent eruptions from the Albano maar is not known precisely; variable dates range from about 36,000 years ago to perhaps the Holocene, when several possibly non-volcanic lake overflow lahars occurred.  Reported historical eruptions during the Roman period are uncertain, but subsequent seismic swarms lasting up to two years have been recorded.",Mediterranean and Western Asia,Italy,41.73,12.7,949,Subduction zone / Continental crust (> 25 km),Holocene,Evidence Uncertain,http://volcano.si.edu/photos/full/088019.jpg,"Lake-filled Albano maar is part of the Alban Hills (Monte Albano) complex immediately SE of Rome.  The Cavo scoria cone rises beyond the far rim.  The Monte Albano complex contains a large Pleistocene stratovolcano with a 10-km-wide caldera.  Subsequent eruptions occurred from a new 5-km-wide central cone and from many phreatomagmatic craters and cones within the caldera and on its outer flanks.  The youngest dated magmatic eruption occurred during the late-Pleistocene, but the possibility of Holocene phreatic eruptions has not been excluded. ",Photo by Ichio Moriya (Kanazawa University).,Foidite,POINT (41.73 12.7)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_15d1,211010,Campi Flegrei,Caldera,1538,Italy,"Campi Flegrei is a large 13-km-wide caldera on the outskirts of Naples that contains numerous phreatic tuff rings and pyroclastic cones. The caldera margins are poorly defined, and on the south lie beneath the Gulf of Pozzuoli. Episodes of dramatic uplift and subsidence within the dominantly trachytic caldera have occurred since Roman times. The earliest known eruptive products are dated 47,000 yrs BP. The caldera formed following two large explosive eruptions, the massive Campanian ignimbrite about 36,000 BP, and the over 40 km3 Neapolitan Yellow Tuff (NYT) about 15,000 BP. Following eruption of the NYT a large number of eruptions have taken place from widely scattered subaerial and submarine vents. Most activity occurred during three intervals: 15,000-9500, 8600-8200, and 4800-3800 BP. Two eruptions have occurred in historical time, one in 1158 at Solfatara and the other in 1538 that formed the Monte Nuovo cinder cone.",Mediterranean and Western Asia,Italy,40.827,14.139,458,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,http://volcano.si.edu/photos/full/015011.jpg,"A Landsat satellite view shows the Campi Flegrei caldera north of the Bay of Naples.  The 13-km-wide caldera, immediately west of the city of Naples (upper right), was created following massive explosive eruptions about 34,000 and 12,000 years ago.  Subsequent eruptions formed a large number of craters and pyroclastic cones within the caldera and along its margins.  The most recent eruption created the Monte Nuovo cinder cone in 1538. ","Satellite image from National Aeronautical and Space Administration (NASA), 1984.",Trachyte / Trachydacite,POINT (40.827 14.139)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_15d2,211020,Vesuvius,Stratovolcano,1944,Italy,"One of the world's most noted volcanoes, Vesuvius (Vesuvio) forms a dramatic backdrop to the Bay of Naples. The historically active cone of Vesuvius was constructed within a large caldera of the ancestral Monte Somma volcano, thought to have formed incrementally beginning about 17,000 years ago. The Monte Somma caldera wall has channeled lava flows and pyroclastic flows primarily to the south and west. Eight major explosive eruptions have taken place in the last 17,000 years, often accompanied by large pyroclastic flows and surges, such as during the well-known 79 CE Pompeii eruption. Intermittent eruptions since 79 CE were followed by a period of frequent long-term explosive and effusive eruptions beginning in 1631 and lasting until 1944. The 1631 eruption was the largest since 79 CE and produced devastating pyroclastic flows that reached as far as the coast and caused great destruction. Many towns are located on the volcano's flanks, and several million people live within areas potentially affected by eruptions of Vesuvius.",Mediterranean and Western Asia,Italy,40.821,14.426,1281,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,http://volcano.si.edu/photos/full/015031.jpg,"Mount Vesuvius provides a backdrop to the city of Naples.  The modern cone of Vesuvius is flanked on the left by Monte Somma, the rim of a caldera that formed about 17,000 years ago.  Eight major explosive eruptions have occurred since, including the 79 CE eruption that destroyed Pompeii and other towns.  A period of frequent, long-duration eruptions began in 1631.  The latest eruption of Vesuvius was in 1944.","Photo by Dan Dzurisin, 1983 (U.S. Geological Survey).",Phono-tephrite /  Tephri-phonolite,POINT (40.821 14.426)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_15d3,211031,Palinuro,Submarine,-8040,Italy,"Palinuro seamount in the Tyrrhenian Sea north of the Eolian Islands rises nearly 3000 m to within 70 m of the sea surface and has a horseshoe-shaped summit caldera.   A marine ash layer (PL-1) radiocarbon dated (calibrated age) at 9990 +/- 90 years ago is chemically and stratigraphically similiar to two ash layers of similar composition onland in southern Italy and was tentatively correlated to the Palinuro seamount activity (Siani et al., 2004).",Mediterranean and Western Asia,Italy,39.48,14.83,-70,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Dated,,,,Phonolite,POINT (39.48 14.83)
